subject,session,ap_file_exists,pa_file_exists,ap_size_mb,pa_size_mb,ap_dimensions,pa_dimensions,ap_voxel_size,pa_voxel_size,ap_phase_encoding,pa_phase_encoding,ap_total_readout_time,pa_total_readout_time,ap_echo_time,ap_repetition_time,ap_mb_factor,num_b0,num_b1000,num_b2500,num_total_volumes,unique_bvals,num_directions,bvec_norm_ok,issues,abs_motion,rel_motion,outlier_pct,cnr_b1000,cnr_b2500,fba_qc_verdict,fba_qc_notes
sub-001,ses-01,True,True,106.0,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.59,0.26,0.12,32.63,2.83,pass,
sub-001,ses-02,True,True,105.8,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.62,0.31,0.0,36.16,2.82,pass,
sub-002,ses-01,True,True,102.8,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.8,0.32,3.39,32.08,3.0,fail,duplicate data (same as sub-004)
sub-004,ses-01,True,True,102.8,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.8,0.32,3.39,32.08,2.76,fail,duplicate data (same as sub-002)
sub-005,ses-00,True,True,106.9,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,,,,,,not_processed,not in FBA preprocessing pipeline
sub-005,ses-01,True,True,106.9,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,1.16,0.35,0.04,25.57,2.05,pass,
sub-011,ses-01,True,True,103.5,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9799998998641968x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,unexpected_AP_voxel_size(1.7999999523162842x1.7999999523162842x1.9799998998641968x5),0.8,0.32,0.08,27.22,2.73,pass,
sub-013,ses-01,True,True,109.1,1.3,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.88,0.43,0.3,27.17,2.43,pass,
sub-031,ses-01,True,True,107.1,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.87,0.33,0.02,32.74,2.85,pass,
sub-031,ses-02,True,True,108.9,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,1.52,0.57,0.26,14.2,1.58,fail,visual QC fail
