subject,abs_motion,rel_motion,outlier_pct,cnr_b1000,cnr_b2500
sub-001,0.59,0.26,0.12,32.63,2.83
sub-002,0.8,0.32,3.39,32.08,3.0
sub-004,0.8,0.32,3.39,32.08,2.76
sub-005,1.16,0.35,0.04,25.57,2.05
sub-011,0.8,0.32,0.08,27.22,2.73
sub-013,0.88,0.43,0.3,27.17,2.43
sub-031,0.87,0.33,0.02,32.74,2.85
sub-035,0.69,0.3,0.18,30.75,2.75
sub-045,0.35,0.3,0.08,38.81,2.84
sub-046,0.76,0.32,0.14,23.68,2.0
sub-050,0.48,0.28,0.12,36.53,2.86
sub-052,0.47,0.29,1.13,25.38,1.3
sub-053,0.68,0.42,0.16,28.01,2.73
sub-054,0.47,0.34,0.04,37.94,2.97
sub-055,0.98,0.3,0.42,26.31,3.37
sub-056,0.77,0.33,1.07,18.81,1.53
sub-057,0.48,0.4,0.1,25.53,2.2
sub-058,0.41,0.24,0.1,38.16,3.29
sub-059,0.66,0.28,0.73,24.52,1.92
sub-060,0.84,0.25,0.12,23.85,3.13
sub-062,0.73,0.32,0.71,19.71,1.96
sub-063,0.62,0.35,0.99,25.76,2.11
sub-064,0.82,0.48,1.15,26.31,1.87
sub-108,0.56,0.33,0.02,40.67,3.29
sub-110,0.4,0.33,0.02,31.56,2.66
sub-112,0.53,0.4,0.0,37.08,3.35
sub-113,0.72,0.28,0.1,28.46,2.47
sub-114,0.71,0.45,0.12,34.07,2.41
sub-118,1.2,0.28,0.02,23.12,2.58
sub-121,1.34,0.28,0.54,10.6,0.94
sub-122,0.55,0.25,0.1,21.37,1.56
sub-123,0.34,0.22,0.04,44.25,4.07
sub-124,0.74,0.23,0.16,37.03,3.42
sub-125,1.04,0.28,0.04,29.6,2.74
sub-126,0.49,0.27,0.14,32.36,2.68
sub-127,0.39,0.31,0.06,35.44,2.66
sub-128,0.59,0.32,0.28,26.55,2.03
sub-129,0.68,0.32,0.18,36.02,2.64
sub-130,1.12,0.32,0.95,28.27,2.78
sub-131,1.1,0.3,0.44,27.81,3.0
sub-132,2.47,0.35,1.09,16.66,2.3
sub-133,0.4,0.29,0.04,35.58,2.4
sub-134,0.41,0.29,0.26,38.72,3.23
sub-135,0.37,0.28,0.08,35.23,2.86
sub-138,0.73,0.31,0.08,27.65,2.62
sub-140,0.37,0.3,0.0,37.18,2.86
sub-141,0.46,0.3,0.1,35.34,2.22
sub-142,0.6,0.31,0.2,28.64,2.74
sub-143,0.47,0.41,0.08,41.44,2.83
