subject,abs_motion,rel_motion,outlier_pct,cnr_b1000,cnr_b2500
sub-001,0.62,0.31,0.0,36.16,2.82
sub-031,1.52,0.57,0.26,14.2,1.58
sub-035,0.39,0.28,0.16,41.85,3.1
sub-045,0.59,0.35,0.22,35.79,2.65
sub-050,0.55,0.27,0.02,37.07,3.0
sub-055,1.34,0.3,0.4,24.36,2.5
sub-057,0.48,0.28,0.04,28.64,2.33
sub-059,0.58,0.36,0.44,15.76,1.12
sub-108,0.38,0.3,0.04,47.23,3.76
sub-110,0.44,0.27,0.04,28.84,2.5
sub-114,0.58,0.45,0.12,29.97,1.94
sub-126,0.61,0.4,0.26,25.37,2.16
sub-127,0.39,0.31,0.02,37.02,2.94
sub-130,0.97,0.27,0.06,28.31,2.8
sub-133,0.49,0.32,0.0,34.14,2.64
sub-134,0.45,0.22,0.17,34.66,3.07
sub-135,0.68,0.31,0.06,28.49,2.78
sub-141,0.37,0.28,0.08,28.96,2.21
sub-142,0.42,0.31,0.34,30.43,3.88
